City,Days Overdue Breakdown,Loan Term in Years,Origination Date,Segment,State,Amount,Amount Due,Avg. Interest Rate,Calc for Metrics Parameter,Days Overdue,Loan Term in Months,No. of Loans,Risk Rate
Saint Petersburg,0-15,21-30 Years,2020-11-01,Commercial,Florida,500.0,529.0,6,500,11,264,1,4
Gainesville,16-30,21-30 Years,2021-02-18,Commercial,Georgia,500.0,522.0,4,500,18,264,1,4
Fort Wayne,16-30,21-30 Years,2021-03-14,Commercial,Indiana,500.0,521.0,4,500,26,264,1,4
Des Moines,16-30,21-30 Years,2019-11-07,Commercial,Iowa,500.0,533.0,7,500,28,264,1,4
Redwood City,31-45,21-30 Years,2021-03-30,Commercial,California,500.0,529.0,6,500,39,264,1,4
Des Moines,46-60,21-30 Years,2020-11-02,Commercial,Iowa,500.0,520.0,4,500,47,264,1,4
Atlanta,46-60,21-30 Years,2020-10-29,Commercial,Georgia,500.0,523.0,5,500,48,264,1,4
Green Bay,46-60,21-30 Years,2020-06-27,Commercial,Wisconsin,500.0,529.0,6,500,50,264,1,4
Fort Worth,61-75,21-30 Years,2020-07-18,Commercial,Texas,500.0,533.0,7,500,63,264,1,4
Columbus,61-75,21-30 Years,2021-07-28,Commercial,Ohio,500.0,526.0,5,500,68,264,1,4
Sterling,61-75,21-30 Years,2022-06-19,Commercial,Virginia,500.0,520.0,4,500,69,264,1,4
Louisville,61-75,21-30 Years,2020-03-03,Commercial,Kentucky,500.0,528.0,6,500,69,264,1,4
Toledo,76-90,21-30 Years,2021-10-12,Commercial,Ohio,500.0,534.0,7,500,76,264,1,4
Arlington,76-90,21-30 Years,2021-11-20,Commercial,Virginia,500.0,530.0,6,500,77,264,1,4
Aurora,76-90,21-30 Years,2022-07-22,Commercial,Colorado,500.0,532.0,6,500,82,264,1,4
Saint Petersburg,76-90,21-30 Years,2020-04-12,Commercial,Florida,500.0,530.0,6,500,84,264,1,4
Shawnee Mission,76-90,21-30 Years,2020-03-22,Commercial,Kansas,500.0,534.0,7,500,85,264,1,4
Tampa,76-90,21-30 Years,2020-05-08,Commercial,Florida,500.0,532.0,6,500,89,264,1,4
Virginia Beach,90+,21-30 Years,2019-08-20,Commercial,Virginia,500.0,534.0,7,500,91,264,1,4
Lincoln,0-15,21-30 Years,2021-06-03,Commercial,Nebraska,1000.0,1061.0,6,"1,000",15,264,1,4
Lake Worth,16-30,21-30 Years,2022-03-22,Commercial,Florida,1000.0,1045.0,5,"1,000",16,264,1,4
Orlando,16-30,21-30 Years,2019-08-29,Commercial,Florida,1000.0,1052.0,5,"1,000",16,264,1,4
Bakersfield,31-45,21-30 Years,2019-10-20,Commercial,California,1000.0,1052.0,5,"1,000",35,264,1,4
Springfield,31-45,21-30 Years,2020-01-22,Commercial,Ohio,1000.0,1067.0,7,"1,000",35,264,1,4
Pittsburgh,31-45,21-30 Years,2021-08-12,Commercial,Pennsylvania,1000.0,1042.0,4,"1,000",39,264,1,4
Greensboro,46-60,21-30 Years,2022-03-07,Commercial,North Carolina,1000.0,1061.0,6,"1,000",52,264,1,4
Helena,46-60,21-30 Years,2020-11-15,Commercial,Montana,1000.0,1053.0,5,"1,000",53,264,1,4
Richmond,46-60,21-30 Years,2022-07-14,Commercial,Virginia,1000.0,1057.0,6,"1,000",55,264,1,4
Sacramento,31-45,21-30 Years,2021-11-29,Commercial,California,1500.0,1595.0,6,"1,500",34,264,1,4
Miami,16-30,21-30 Years,2021-02-06,Commercial,Florida,2000.0,2138.0,7,"2,000",28,264,1,4
Shreveport,0-15,21-30 Years,2020-09-21,Commercial,Louisiana,3000.0,3155.0,5,"3,000",11,264,1,4
Lubbock,0-15,21-30 Years,2019-07-26,Commercial,Texas,4000.0,4206.0,5,"4,000",5,264,1,4
San Jose,61-75,21-30 Years,2020-10-08,Commercial,California,4000.0,4184.0,5,"4,000",61,264,1,4
Fullerton,76-90,21-30 Years,2022-02-25,Commercial,California,4000.0,4272.0,7,"4,000",85,264,1,4
Los Angeles,46-60,21-30 Years,2022-07-24,Commercial,California,5000.0,5223.0,4,"5,000",53,264,1,4
Pittsburgh,61-75,21-30 Years,2020-05-12,Commercial,Pennsylvania,6000.0,6337.0,6,"6,000",71,264,1,4
Santa Clara,0-15,21-30 Years,2020-06-01,Commercial,California,500.0,526.0,5,500,9,276,1,4
Cincinnati,0-15,21-30 Years,2022-03-21,Commercial,Ohio,500.0,529.0,6,500,12,276,1,4
Duluth,16-30,21-30 Years,2019-09-06,Commercial,Georgia,500.0,530.0,6,500,30,276,1,4
Lake Worth,31-45,21-30 Years,2020-01-13,Commercial,Florida,500.0,532.0,6,500,31,276,1,4
San Francisco,31-45,21-30 Years,2021-12-17,Commercial,California,500.0,527.0,5,500,36,276,1,4
Houston,46-60,21-30 Years,2020-08-04,Commercial,Texas,500.0,531.0,6,500,47,276,1,4
Inglewood,61-75,21-30 Years,2021-10-12,Commercial,California,500.0,526.0,5,500,61,276,1,4
Greensboro,61-75,21-30 Years,2019-11-02,Commercial,North Carolina,500.0,529.0,6,500,66,276,1,4
Wichita Falls,61-75,21-30 Years,2020-12-05,Commercial,Texas,500.0,534.0,7,500,70,276,1,4
Flint,76-90,21-30 Years,2020-10-04,Commercial,Michigan,500.0,525.0,5,500,76,276,1,4
New Orleans,76-90,21-30 Years,2020-03-08,Commercial,Louisiana,500.0,524.0,5,500,81,276,1,4
Helena,76-90,21-30 Years,2021-03-25,Commercial,Montana,500.0,526.0,5,500,87,276,1,4
Hot Springs National Park,90+,21-30 Years,2022-03-08,Commercial,Arkansas,500.0,534.0,7,500,91,276,1,4
Vancouver,16-30,21-30 Years,2022-07-22,Commercial,Washington,1000.0,1043.0,4,"1,000",22,276,1,4
Alexandria,31-45,21-30 Years,2020-01-12,Commercial,Virginia,1000.0,1040.0,4,"1,000",32,276,1,4
Washington,61-75,21-30 Years,2022-04-04,Commercial,District of Columbia,1000.0,1047.0,5,"1,000",62,276,1,4
Bonita Springs,61-75,21-30 Years,2019-08-26,Commercial,Florida,1000.0,1066.0,7,"1,000",75,276,1,4
Columbus,31-45,21-30 Years,2020-07-28,Commercial,Ohio,2000.0,2112.0,6,"2,000",42,276,1,4
Greensboro,46-60,21-30 Years,2021-02-04,Commercial,North Carolina,2000.0,2139.0,7,"2,000",53,276,1,4
Reno,46-60,21-30 Years,2021-12-27,Commercial,Nevada,2000.0,2131.0,7,"2,000",58,276,1,4
Albuquerque,46-60,21-30 Years,2020-04-10,Commercial,New Mexico,3000.0,3189.0,6,"3,000",48,276,1,4
Aurora,16-30,21-30 Years,2019-09-08,Commercial,Colorado,5000.0,5258.0,5,"5,000",20,276,1,4
Chicago,61-75,21-30 Years,2020-08-11,Commercial,Illinois,15000.0,15828.0,6,"15,000",72,276,1,4
Colorado Springs,0-15,21-30 Years,2020-12-14,Commercial,Colorado,500.0,520.0,4,500,4,288,1,4
Jacksonville,0-15,21-30 Years,2021-02-10,Commercial,Florida,500.0,533.0,7,500,14,288,1,4
Rochester,31-45,21-30 Years,2020-04-05,Commercial,New York,500.0,526.0,5,500,32,288,1,4
Houston,31-45,21-30 Years,2020-01-23,Commercial,Texas,500.0,526.0,5,500,37,288,1,4
San Diego,31-45,21-30 Years,2021-05-25,Commercial,California,500.0,527.0,5,500,43,288,1,4
Gainesville,46-60,21-30 Years,2020-05-06,Commercial,Florida,500.0,528.0,6,500,54,288,1,4
Atlanta,46-60,21-30 Years,2022-03-13,Commercial,Georgia,500.0,521.0,4,500,60,288,1,4
Santa Ana,61-75,21-30 Years,2021-08-02,Commercial,California,500.0,529.0,6,500,62,288,1,4
El Paso,61-75,21-30 Years,2020-12-05,Commercial,Texas,500.0,525.0,5,500,70,288,1,4
Saint Louis,76-90,21-30 Years,2019-08-13,Commercial,Missouri,500.0,527.0,5,500,79,288,1,4
Tacoma,76-90,21-30 Years,2020-05-14,Commercial,Washington,500.0,532.0,6,500,81,288,1,4
Aiken,46-60,21-30 Years,2020-03-10,Commercial,South Carolina,1000.0,1049.0,5,"1,000",52,288,1,4
Norfolk,31-45,21-30 Years,2021-07-03,Commercial,Virginia,2000.0,2107.0,5,"2,000",41,288,1,4
Los Angeles,61-75,21-30 Years,2020-11-04,Commercial,California,2000.0,2128.0,6,"2,000",68,288,1,4
Kansas City,16-30,21-30 Years,2022-07-17,Commercial,Missouri,3000.0,3145.0,5,"3,000",27,288,1,4
Salt Lake City,46-60,21-30 Years,2021-07-03,Commercial,Utah,4000.0,4174.0,4,"4,000",50,288,1,4
Springfield,76-90,21-30 Years,2021-04-06,Commercial,Illinois,6000.0,6391.0,7,"6,000",85,288,1,4
Saint Petersburg,61-75,21-30 Years,2020-03-03,Commercial,Florida,13000.0,13831.0,6,"13,000",67,288,1,4
Richmond,46-60,21-30 Years,2020-04-07,Commercial,Virginia,17000.0,18165.0,7,"17,000",53,288,1,4
Sacramento,0-15,21-30 Years,2019-10-27,Commercial,California,500.0,532.0,6,500,3,300,1,4
Chicago,0-15,21-30 Years,2022-05-22,Commercial,Illinois,500.0,535.0,7,500,15,300,1,4
Atlanta,16-30,21-30 Years,2019-11-03,Commercial,Georgia,500.0,529.0,6,500,21,300,1,4
Ogden,16-30,21-30 Years,2022-02-20,Commercial,Utah,500.0,526.0,5,500,26,300,1,4
Spring,16-30,21-30 Years,2019-07-21,Commercial,Texas,500.0,527.0,5,500,28,300,1,4
Lexington,46-60,21-30 Years,2021-07-28,Commercial,Kentucky,500.0,531.0,6,500,54,300,1,4
Irvine,46-60,21-30 Years,2021-09-08,Commercial,California,500.0,531.0,6,500,59,300,1,4
Rochester,61-75,21-30 Years,2021-10-05,Commercial,New York,500.0,532.0,6,500,64,300,1,4
Saint Paul,61-75,21-30 Years,2019-09-30,Commercial,Minnesota,500.0,520.0,4,500,65,300,1,4
Lexington,61-75,21-30 Years,2019-09-29,Commercial,Kentucky,500.0,531.0,6,500,67,300,1,4
Birmingham,76-90,21-30 Years,2021-12-21,Commercial,Alabama,500.0,522.0,4,500,79,300,1,4
Rochester,76-90,21-30 Years,2020-07-03,Commercial,New York,500.0,521.0,4,500,88,300,1,4
White Plains,16-30,21-30 Years,2019-10-08,Commercial,New York,1000.0,1047.0,5,"1,000",24,300,1,4
San Diego,16-30,21-30 Years,2020-07-24,Commercial,California,1000.0,1054.0,5,"1,000",28,300,1,4
Columbia,16-30,21-30 Years,2020-10-29,Commercial,South Carolina,1000.0,1059.0,6,"1,000",30,300,1,4
New Orleans,46-60,21-30 Years,2021-01-02,Commercial,Louisiana,1000.0,1065.0,7,"1,000",46,300,1,4
Arlington,61-75,21-30 Years,2021-07-04,Commercial,Texas,1000.0,1041.0,4,"1,000",65,300,1,4
Boston,76-90,21-30 Years,2021-09-29,Commercial,Massachusetts,1000.0,1055.0,6,"1,000",77,300,1,4
Maple Plain,0-15,21-30 Years,2021-05-02,Commercial,Minnesota,1500.0,1598.0,7,"1,500",4,300,1,4
Erie,46-60,21-30 Years,2020-03-06,Commercial,Pennsylvania,1500.0,1605.0,7,"1,500",50,300,1,4
Philadelphia,0-15,21-30 Years,2021-01-24,Commercial,Pennsylvania,2000.0,2100.0,5,"2,000",11,300,1,4
Carol Stream,0-15,21-30 Years,2020-07-22,Commercial,Illinois,2000.0,2099.0,5,"2,000",12,300,1,4
Stockton,31-45,21-30 Years,2019-10-20,Commercial,California,2000.0,2116.0,6,"2,000",39,300,1,4
Whittier,0-15,21-30 Years,2020-05-19,Commercial,California,3000.0,3123.0,4,"3,000",9,300,1,4
Cleveland,31-45,21-30 Years,2021-03-14,Commercial,Ohio,3000.0,3181.0,6,"3,000",34,300,1,4
Tacoma,31-45,21-30 Years,2019-07-28,Commercial,Washington,3000.0,3190.0,6,"3,000",42,300,1,4
Greensboro,46-60,21-30 Years,2022-04-15,Commercial,North Carolina,3000.0,3170.0,6,"3,000",54,300,1,4
Bowie,61-75,21-30 Years,2022-04-17,Commercial,Maryland,5000.0,5206.0,4,"5,000",67,300,1,4
Silver Spring,16-30,21-30 Years,2020-01-24,Commercial,Maryland,7000.0,7431.0,6,"7,000",27,300,1,4
Denver,31-45,21-30 Years,2020-07-29,Commercial,Colorado,7000.0,7368.0,5,"7,000",38,300,1,4
Albuquerque,61-75,21-30 Years,2020-01-28,Commercial,New Mexico,8000.0,8378.0,5,"8,000",66,300,1,4
Seattle,61-75,21-30 Years,2021-04-28,Commercial,Washington,13000.0,13779.0,6,"13,000",72,300,1,4
Springfield,0-15,21-30 Years,2020-10-31,Commercial,Virginia,15000.0,15989.0,7,"15,000",14,300,1,4
Athens,0-15,21-30 Years,2019-12-18,Commercial,Georgia,500.0,531.0,6,500,1,312,1,4
Levittown,0-15,21-30 Years,2020-11-30,Commercial,Pennsylvania,500.0,521.0,4,500,7,312,1,4
Boise,0-15,21-30 Years,2021-08-29,Commercial,Idaho,500.0,529.0,6,500,12,312,1,4
Dallas,16-30,21-30 Years,2020-07-25,Commercial,Texas,500.0,526.0,5,500,17,312,1,4
Atlanta,16-30,21-30 Years,2021-11-14,Commercial,Georgia,500.0,526.0,5,500,19,312,1,4
Phoenix,16-30,21-30 Years,2020-02-05,Commercial,Arizona,500.0,527.0,5,500,24,312,1,4
Kansas City,16-30,21-30 Years,2021-06-21,Commercial,Missouri,500.0,531.0,6,500,29,312,1,4
Seattle,16-30,21-30 Years,2019-11-26,Commercial,Washington,500.0,531.0,6,500,29,312,1,4
Austin,16-30,21-30 Years,2022-06-04,Commercial,Texas,500.0,520.0,4,500,30,312,1,4
Montgomery,31-45,21-30 Years,2021-08-25,Commercial,Alabama,500.0,527.0,5,500,33,312,1,4
New Orleans,31-45,21-30 Years,2019-07-11,Commercial,Louisiana,500.0,532.0,6,500,33,312,1,4
Cincinnati,31-45,21-30 Years,2022-01-01,Commercial,Ohio,500.0,527.0,5,500,34,312,1,4
Sacramento,46-60,21-30 Years,2021-09-02,Commercial,California,500.0,531.0,6,500,48,312,1,4
Austin,46-60,21-30 Years,2022-04-28,Commercial,Texas,500.0,523.0,5,500,59,312,1,4
Pueblo,61-75,21-30 Years,2019-12-04,Commercial,Colorado,500.0,530.0,6,500,67,312,1,4
Huntsville,76-90,21-30 Years,2022-03-08,Commercial,Alabama,500.0,523.0,5,500,77,312,1,4
Dallas,76-90,21-30 Years,2020-09-12,Commercial,Texas,500.0,527.0,5,500,82,312,1,4
Dayton,76-90,21-30 Years,2022-03-16,Commercial,Ohio,500.0,529.0,6,500,88,312,1,4
Louisville,90+,21-30 Years,2021-06-21,Commercial,Kentucky,500.0,527.0,5,500,95,312,1,4
Saint Louis,16-30,21-30 Years,2020-06-27,Commercial,Missouri,1000.0,1066.0,7,"1,000",30,312,1,4
New York City,31-45,21-30 Years,2020-01-24,Commercial,New York,1000.0,1057.0,6,"1,000",33,312,1,4
Charlottesville,61-75,21-30 Years,2020-05-31,Commercial,Virginia,1000.0,1050.0,5,"1,000",64,312,1,4
Nashville,76-90,21-30 Years,2022-01-10,Commercial,Tennessee,1000.0,1059.0,6,"1,000",83,312,1,4
Buffalo,76-90,21-30 Years,2020-12-08,Commercial,New York,1000.0,1061.0,6,"1,000",84,312,1,4
Sacramento,0-15,21-30 Years,2020-12-02,Commercial,California,2000.0,2085.0,4,"2,000",10,312,1,4
Odessa,46-60,21-30 Years,2020-01-06,Commercial,Texas,2000.0,2130.0,7,"2,000",48,312,1,4
San Diego,90+,21-30 Years,2022-07-05,Commercial,California,3000.0,3195.0,7,"3,000",95,312,1,4
Buffalo,46-60,21-30 Years,2022-06-22,Commercial,New York,4000.0,4218.0,5,"4,000",59,312,1,4
Seattle,61-75,21-30 Years,2019-12-20,Commercial,Washington,4000.0,4199.0,5,"4,000",70,312,1,4
Jamaica,31-45,21-30 Years,2019-12-08,Commercial,New York,6000.0,6244.0,4,"6,000",36,312,1,4
Buffalo,76-90,21-30 Years,2020-08-19,Commercial,New York,6000.0,6418.0,7,"6,000",84,312,1,4
Portsmouth,0-15,21-30 Years,2020-05-09,Commercial,Virginia,500.0,526.0,5,500,4,324,1,4
Charleston,0-15,21-30 Years,2021-12-02,Commercial,West Virginia,500.0,524.0,5,500,6,324,1,4
Tulsa,31-45,21-30 Years,2022-01-25,Commercial,Oklahoma,500.0,533.0,7,500,32,324,1,4
Hartford,31-45,21-30 Years,2021-03-22,Commercial,Connecticut,500.0,526.0,5,500,34,324,1,4
Pittsburgh,31-45,21-30 Years,2020-05-08,Commercial,Pennsylvania,500.0,529.0,6,500,35,324,1,4
Grand Rapids,31-45,21-30 Years,2019-09-08,Commercial,Michigan,500.0,527.0,5,500,40,324,1,4
Saint Louis,31-45,21-30 Years,2019-12-21,Commercial,Missouri,500.0,528.0,6,500,41,324,1,4
Detroit,31-45,21-30 Years,2021-04-29,Commercial,Michigan,500.0,528.0,6,500,42,324,1,4
Boise,46-60,21-30 Years,2020-06-05,Commercial,Idaho,500.0,532.0,6,500,49,324,1,4
Pittsburgh,46-60,21-30 Years,2021-10-27,Commercial,Pennsylvania,500.0,534.0,7,500,56,324,1,4
Green Bay,61-75,21-30 Years,2020-10-04,Commercial,Wisconsin,500.0,527.0,5,500,61,324,1,4
Austin,61-75,21-30 Years,2021-07-05,Commercial,Texas,500.0,530.0,6,500,61,324,1,4
Miami,61-75,21-30 Years,2020-03-02,Commercial,Florida,500.0,528.0,6,500,62,324,1,4
Humble,61-75,21-30 Years,2021-04-05,Commercial,Texas,500.0,532.0,6,500,64,324,1,4
Lynn,76-90,21-30 Years,2021-06-03,Commercial,Massachusetts,500.0,526.0,5,500,77,324,1,4
Canton,76-90,21-30 Years,2021-05-26,Commercial,Ohio,500.0,535.0,7,500,79,324,1,4
Wichita Falls,76-90,21-30 Years,2021-09-26,Commercial,Texas,500.0,526.0,5,500,80,324,1,4
Madison,76-90,21-30 Years,2020-02-28,Commercial,Wisconsin,500.0,527.0,5,500,85,324,1,4
Lynn,76-90,21-30 Years,2021-06-12,Commercial,Massachusetts,500.0,529.0,6,500,89,324,1,4
Schenectady,0-15,21-30 Years,2020-01-21,Commercial,New York,1000.0,1064.0,6,"1,000",11,324,1,4
Sacramento,46-60,21-30 Years,2021-12-09,Commercial,California,1000.0,1060.0,6,"1,000",55,324,1,4
Las Vegas,76-90,21-30 Years,2020-06-07,Commercial,Nevada,1000.0,1041.0,4,"1,000",84,324,1,4
North Little Rock,76-90,21-30 Years,2021-02-20,Commercial,Arkansas,1000.0,1063.0,6,"1,000",84,324,1,4
Scottsdale,0-15,21-30 Years,2021-01-08,Commercial,Arizona,2000.0,2116.0,6,"2,000",13,324,1,4
Little Rock,0-15,21-30 Years,2020-12-13,Commercial,Arkansas,2000.0,2130.0,7,"2,000",14,324,1,4
Charlotte,46-60,21-30 Years,2020-02-10,Commercial,North Carolina,2000.0,2089.0,4,"2,000",46,324,1,4
Atlanta,61-75,21-30 Years,2020-11-02,Commercial,Georgia,2000.0,2134.0,7,"2,000",70,324,1,4
Tampa,76-90,21-30 Years,2020-02-10,Commercial,Florida,2000.0,2086.0,4,"2,000",81,324,1,4
San Francisco,46-60,21-30 Years,2020-10-10,Commercial,California,3000.0,3186.0,6,"3,000",56,324,1,4
Mesquite,76-90,21-30 Years,2020-04-22,Commercial,Texas,3000.0,3128.0,4,"3,000",88,324,1,4
Kansas City,0-15,21-30 Years,2019-07-05,Commercial,Missouri,5000.0,5336.0,7,"5,000",3,324,1,4
New Orleans,31-45,21-30 Years,2021-02-09,Commercial,Louisiana,12000.0,12710.0,6,"12,000",41,324,1,4
Amarillo,46-60,21-30 Years,2020-09-13,Commercial,Texas,23000.0,24249.0,5,"23,000",53,324,1,4
Washington,0-15,21-30 Years,2021-02-01,Commercial,District of Columbia,500.0,529.0,6,500,9,336,1,4
Springfield,0-15,21-30 Years,2021-01-31,Commercial,Virginia,500.0,522.0,4,500,14,336,1,4
San Francisco,16-30,21-30 Years,2022-02-20,Commercial,California,500.0,520.0,4,500,23,336,1,4
San Francisco,16-30,21-30 Years,2021-12-19,Commercial,California,500.0,527.0,5,500,30,336,1,4
Odessa,31-45,21-30 Years,2020-01-20,Commercial,Texas,500.0,520.0,4,500,31,336,1,4
Hagerstown,31-45,21-30 Years,2020-07-22,Commercial,Maryland,500.0,522.0,4,500,39,336,1,4
San Antonio,31-45,21-30 Years,2020-11-04,Commercial,Texas,500.0,530.0,6,500,39,336,1,4
Tallahassee,46-60,21-30 Years,2022-05-14,Commercial,Florida,500.0,525.0,5,500,47,336,1,4
Cincinnati,46-60,21-30 Years,2019-10-29,Commercial,Ohio,500.0,527.0,5,500,47,336,1,4
El Paso,46-60,21-30 Years,2022-03-21,Commercial,Texas,500.0,525.0,5,500,48,336,1,4
Peoria,46-60,21-30 Years,2019-10-14,Commercial,Illinois,500.0,527.0,5,500,48,336,1,4
Tampa,46-60,21-30 Years,2021-02-06,Commercial,Florida,500.0,530.0,6,500,54,336,1,4
Tulsa,46-60,21-30 Years,2022-04-07,Commercial,Oklahoma,500.0,528.0,6,500,55,336,1,4
Tacoma,61-75,21-30 Years,2022-01-07,Commercial,Washington,500.0,526.0,5,500,61,336,1,4
Spokane,61-75,21-30 Years,2021-04-07,Commercial,Washington,500.0,526.0,5,500,66,336,1,4
Concord,61-75,21-30 Years,2021-07-17,Commercial,California,500.0,521.0,4,500,69,336,1,4
Cedar Rapids,61-75,21-30 Years,2019-11-06,Commercial,Iowa,500.0,527.0,5,500,71,336,1,4
Charleston,61-75,21-30 Years,2019-09-28,Commercial,West Virginia,500.0,523.0,5,500,72,336,1,4
Tyler,61-75,21-30 Years,2021-05-27,Commercial,Texas,500.0,533.0,7,500,74,336,1,4
Washington,61-75,21-30 Years,2020-04-15,Commercial,District of Columbia,500.0,533.0,7,500,74,336,1,4
Peoria,90+,21-30 Years,2021-07-19,Commercial,Illinois,500.0,529.0,6,500,91,336,1,4
Miami,90+,21-30 Years,2020-04-02,Commercial,Florida,500.0,533.0,7,500,95,336,1,4
Chicago,16-30,21-30 Years,2021-11-12,Commercial,Illinois,1000.0,1064.0,6,"1,000",16,336,1,4
Mesa,16-30,21-30 Years,2020-05-21,Commercial,Arizona,1000.0,1048.0,5,"1,000",22,336,1,4
Battle Creek,16-30,21-30 Years,2022-03-12,Commercial,Michigan,1000.0,1056.0,6,"1,000",22,336,1,4
Seattle,46-60,21-30 Years,2022-02-04,Commercial,Washington,1000.0,1060.0,6,"1,000",50,336,1,4
New York City,46-60,21-30 Years,2020-05-13,Commercial,New York,1000.0,1041.0,4,"1,000",57,336,1,4
Birmingham,61-75,21-30 Years,2020-09-15,Commercial,Alabama,1000.0,1066.0,7,"1,000",73,336,1,4
Terre Haute,31-45,21-30 Years,2021-01-05,Commercial,Indiana,2000.0,2135.0,7,"2,000",41,336,1,4
Milwaukee,61-75,21-30 Years,2021-12-23,Commercial,Wisconsin,2000.0,2110.0,5,"2,000",69,336,1,4
Orlando,76-90,21-30 Years,2021-02-17,Commercial,Florida,2000.0,2123.0,6,"2,000",77,336,1,4
Cleveland,76-90,21-30 Years,2022-04-03,Commercial,Ohio,2000.0,2081.0,4,"2,000",82,336,1,4
Pittsburgh,90+,21-30 Years,2019-09-29,Commercial,Pennsylvania,2000.0,2119.0,6,"2,000",91,336,1,4
Littleton,16-30,21-30 Years,2021-02-09,Commercial,Colorado,3000.0,3198.0,7,"3,000",19,336,1,4
Buffalo,31-45,21-30 Years,2020-01-27,Commercial,New York,4000.0,4256.0,6,"4,000",33,336,1,4
Lexington,0-15,21-30 Years,2020-09-20,Commercial,Kentucky,5000.0,5218.0,4,"5,000",7,336,1,4
Akron,61-75,21-30 Years,2021-10-30,Commercial,Ohio,6000.0,6398.0,7,"6,000",66,336,1,4
San Diego,16-30,21-30 Years,2022-01-29,Commercial,California,15000.0,15876.0,6,"15,000",17,336,1,4
Indianapolis,61-75,21-30 Years,2021-05-11,Commercial,Indiana,16000.0,16861.0,5,"16,000",74,336,1,4
Southfield,46-60,21-30 Years,2021-03-31,Commercial,Michigan,21000.0,21874.0,4,"21,000",53,336,1,4
Omaha,16-30,21-30 Years,2019-11-07,Commercial,Nebraska,25000.0,26438.0,6,"25,000",21,336,1,4
Fort Wayne,0-15,21-30 Years,2021-11-27,Commercial,Indiana,500.0,521.0,4,500,4,348,1,4
Little Rock,0-15,21-30 Years,2021-04-28,Commercial,Arkansas,500.0,529.0,6,500,6,348,1,4
Salem,0-15,21-30 Years,2020-11-05,Commercial,Oregon,500.0,522.0,4,500,7,348,1,4
Atlanta,0-15,21-30 Years,2021-01-02,Commercial,Georgia,500.0,530.0,6,500,14,348,1,4
Monticello,16-30,21-30 Years,2020-05-02,Commercial,Minnesota,500.0,522.0,4,500,16,348,1,4
Garland,16-30,21-30 Years,2022-03-04,Commercial,Texas,500.0,529.0,6,500,20,348,1,4
Dayton,31-45,21-30 Years,2022-06-10,Commercial,Ohio,500.0,526.0,5,500,38,348,1,4
Milwaukee,31-45,21-30 Years,2021-01-18,Commercial,Wisconsin,500.0,533.0,7,500,39,348,1,4
Jacksonville,31-45,21-30 Years,2019-08-21,Commercial,Florida,500.0,528.0,6,500,43,348,1,4
Mesa,46-60,21-30 Years,2020-04-23,Commercial,Arizona,500.0,527.0,5,500,52,348,1,4
San Jose,46-60,21-30 Years,2019-09-07,Commercial,California,500.0,533.0,7,500,56,348,1,4
Washington,61-75,21-30 Years,2019-10-31,Commercial,District of Columbia,500.0,520.0,4,500,61,348,1,4
Saint Paul,61-75,21-30 Years,2020-11-27,Commercial,Minnesota,500.0,525.0,5,500,61,348,1,4
Atlanta,61-75,21-30 Years,2022-06-07,Commercial,Georgia,500.0,525.0,5,500,61,348,1,4
Little Rock,61-75,21-30 Years,2021-12-24,Commercial,Arkansas,500.0,524.0,5,500,68,348,1,4
Arlington,61-75,21-30 Years,2021-01-26,Commercial,Virginia,500.0,525.0,5,500,69,348,1,4
Gainesville,61-75,21-30 Years,2021-05-07,Commercial,Georgia,500.0,527.0,5,500,73,348,1,4
West Hartford,76-90,21-30 Years,2022-03-16,Commercial,Connecticut,500.0,533.0,7,500,81,348,1,4
Waco,76-90,21-30 Years,2022-01-17,Commercial,Texas,500.0,521.0,4,500,87,348,1,4
Schenectady,90+,21-30 Years,2022-02-21,Commercial,New York,500.0,526.0,5,500,91,348,1,4
Macon,0-15,21-30 Years,2021-05-06,Commercial,Georgia,1000.0,1051.0,5,"1,000",2,348,1,4
New York City,0-15,21-30 Years,2020-08-07,Commercial,New York,1000.0,1065.0,7,"1,000",15,348,1,4
Youngstown,16-30,21-30 Years,2019-09-17,Commercial,Ohio,1000.0,1065.0,6,"1,000",27,348,1,4
Minneapolis,31-45,21-30 Years,2020-12-18,Commercial,Minnesota,1000.0,1058.0,6,"1,000",34,348,1,4
Portsmouth,46-60,21-30 Years,2022-01-07,Commercial,Virginia,1000.0,1057.0,6,"1,000",47,348,1,4
Santa Ana,46-60,21-30 Years,2021-08-27,Commercial,California,1000.0,1053.0,5,"1,000",54,348,1,4
Montgomery,61-75,21-30 Years,2020-10-18,Commercial,Alabama,1000.0,1048.0,5,"1,000",74,348,1,4
New York City,76-90,21-30 Years,2020-11-16,Commercial,New York,1000.0,1051.0,5,"1,000",82,348,1,4
Columbus,90+,21-30 Years,2020-09-01,Commercial,Ohio,1000.0,1047.0,5,"1,000",92,348,1,4
Houston,46-60,21-30 Years,2021-05-31,Commercial,Texas,2000.0,2104.0,5,"2,000",60,348,1,4
Terre Haute,90+,21-30 Years,2021-09-07,Commercial,Indiana,2000.0,2123.0,6,"2,000",93,348,1,4
Topeka,0-15,21-30 Years,2022-01-25,Commercial,Kansas,2500.0,2647.0,6,"2,500",8,348,1,4
New Haven,46-60,21-30 Years,2020-09-25,Commercial,Connecticut,3000.0,3198.0,7,"3,000",58,348,1,4
